episode,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
72,-3525.9577557389903,-3172.9222493173656,-3525.1105526745305,-3119.889640836393,-3377.033578256674,-3344.1827553647904,171.16878063568566
73,-3217.4883700200644,-2770.8012234625744,-3130.6987914491556,-3071.4091395161477,-3477.841649880516,-3133.647834865692,228.49010179526002
74,-3226.368919764877,-3065.373159995712,-3632.449820852915,-3329.5147702173076,-2868.8387178815033,-3224.5090777424625,256.620712162796
75,-3473.9843409718137,-3221.467454383423,-3428.826550219275,-3575.222942399748,-3323.15582462148,-3404.5314225191482,122.21616949774526
76,-3234.9389917072176,-3521.1991145229604,-2925.4391696431003,-2873.089680341523,-3071.8974685674657,-3125.3128849564537,234.5902997862922
77,-3115.235429408616,-3170.2151080236163,-3324.50110518216,-3066.897522881106,-3072.428688618747,-3149.8555708228496,94.85893466023386
78,-3331.1081914343554,-3065.7567377329806,-3081.9483589991387,-3277.6508675559153,-3029.1852894211806,-3157.1298890287144,122.60904679275168
79,-3030.2857898546963,-3369.517332185432,-3379.14284960529,-3475.0070924117726,-3326.565185433656,-3316.1036498981694,150.91624103685032
80,-3380.053818078549,-3321.6595652670826,-3078.93962766281,-3123.3589880399713,-3119.0037162384883,-3204.6031430573803,121.82310047232983
81,-3426.8309978256357,-3466.221013967614,-3631.285518282756,-3317.685981960419,-3276.116352826804,-3423.6279729726457,124.84347493666964
82,-3029.999423558233,-3372.866313544528,-3172.305846249368,-2916.8285522243295,-3328.4247402307874,-3164.084975161449,173.07770635984156
83,-3110.5647880878205,-3270.1011461965495,-3173.5061710271734,-3309.5746635185637,-2965.743161982796,-3165.8979861625808,122.21529127378052
84,-2773.8720457464124,-3477.5135208302813,-3330.4714023077804,-3124.4303118247894,-3225.6965024443552,-3186.3967566307233,237.09383008339876
85,-3422.9412499543573,-3521.662190705418,-3027.97428499942,-3165.0289644242293,-2868.241911884835,-3201.169720393652,242.5043395950495
