episode,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
146,-871.5318697936442,-774.2288679067718,-879.6670187479601,-1010.831131506552,-1184.5950803532107,-944.1707936616278,141.82020070556712
147,-1150.3325579377156,-830.8779615347676,-1026.498203280605,-812.9413844559878,-1078.4560872319146,-979.8212388881981,134.91824778048442
148,-825.71146475899,-1148.6113235361584,-1143.338727060921,-926.8156693336696,-1032.9579386039168,-1015.487024658731,125.10055314287648
149,-1143.3724724474903,-1092.7404260283904,-1134.7607421209052,-354.60632411564285,-1196.5594588272636,-984.4078847079385,316.6291071655275
150,-1143.0467609816396,-1325.646578130962,-821.1146500618446,-678.7260829573767,-1085.15929777372,-1010.7386739811085,231.68965374962272
151,-1300.9476181160655,-889.108999863988,-1203.5925037233694,-887.6227903330746,-759.5561568902284,-1008.1656137853452,207.08678520500138
152,-1139.0677275930257,-667.9432109261933,-982.4599787366802,-1108.0189936300158,-872.4793445176517,-953.9938510807133,171.61351242916948
153,-728.9899056420318,-843.1183196724287,-1075.8328034016397,-1100.9512094656964,-729.050929662143,-895.5886335687879,163.0366984132349
154,-999.0285707583236,-1081.2724234256996,-1232.0400707811416,-669.9801123137926,-1089.5057462953237,-1014.3653847148562,187.798470936611
155,-938.1026036818529,-996.8731714473256,-1186.4212140373725,-893.4153228329835,-982.6380400930527,-999.4900704185175,100.25404200195486
156,-1249.1255373513386,-881.6518024607598,-1345.1485185313236,-879.1007899012302,-1189.1711861344681,-1108.8395668758242,193.06446029406388
157,-881.9461401504957,-834.7119054931865,-1375.9067171900952,-980.9614296545335,-1404.82870785615,-1095.670980068892,245.37595471776015
158,-1201.6474243663286,-728.9534424429017,-770.5693082715077,-774.5863040290328,-983.3565631889728,-891.8226084597487,178.5177641256198
159,-1358.6906929527636,-887.7968495167031,-1236.608395913955,-627.103994016651,-664.5418794347758,-954.9483623669697,296.19838786552606
160,-974.9101637186141,-1090.0740555308168,-1137.5509551586633,-993.9415089951017,-1293.9950650398291,-1098.0943496886052,114.90900487458258
161,-982.0554878956382,-937.7603049767605,-1525.8273212419906,-737.8768112698973,-919.8515118959042,-1020.6742874560381,265.96442330586694
162,-1149.4985588298935,-569.7125534373175,-1309.813929212435,-926.502441211962,-1088.291811917734,-1008.7638589218683,251.5134531508013
163,-893.9087468630398,-1110.7591422723428,-1196.0804887957584,-1290.8280162239598,-1403.4967981840637,-1179.014638467833,172.70199588433795
164,-1048.387590630708,-1422.2666752800958,-1036.7317136907607,-1015.7114963212259,-879.8894294410353,-1080.597381072765,181.21447727348948
165,-1062.2745318549403,-1052.6906421255524,-1256.2244086373119,-571.5484355001655,-1209.01516074443,-1030.35063577248,242.88171761221642
166,-789.8474800623981,-938.03576139728,-934.5874069363642,-770.8213237800413,-1135.6667101018438,-913.7917364555855,131.1879980639403
167,-851.7676417351935,-734.2342912708682,-1313.9325706771042,-1079.076783456348,-915.1193091257579,-978.8261192530545,201.183551087379
168,-991.8653679209099,-1166.4274984620608,-1452.1533318761815,-1076.7202636185739,-1285.433078011514,-1194.519907977848,161.47754511659627
169,-884.1716094049715,-932.7729978344391,-1106.014916134835,-1090.4682449132201,-885.589765488229,-979.8035067551389,98.39670902306351
170,-929.3882730472789,-933.7167497595063,-985.0659752073058,-876.0995626110946,-973.7498307895847,-939.6040782829541,38.482628056509206
171,-1201.7528950090598,-942.4085462489572,-883.5386824217278,-1025.289652980573,-1042.4137788635483,-1019.0807111047732,107.89103038325945
172,-1150.3552176259516,-731.1931909430728,-1249.7672298098973,-556.5781652521136,-820.5995826083283,-901.6986772478728,259.89965146841695
173,-923.0613349037436,-623.4027521963883,-1623.9829890400536,-1022.8922744386596,-945.8297440690402,-1027.8338189295769,327.62316197942624
174,-456.06669922136047,-839.7214199831368,-1089.0110719502784,-1141.1373567862345,-1406.6024336966818,-986.5077963275384,320.56535202884265
175,-944.4478878268291,-1106.9813711638767,-1152.100742160812,-911.0726251528052,-1355.4057179381402,-1094.0016688484927,159.81578164731013
